               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036317,            0.020234,           0.0031657,             0.87667,             0.78623,             0.85157,             0.44588,            0.034105,            0.016535,           0.0073901,            0.008845,            0.008845,            0.008845
                  37,            0.036042,            0.019992,           0.0032072,             0.87169,             0.79916,             0.85132,             0.44916,            0.033777,            0.016502,            0.006974,            0.008812,            0.008812,            0.008812
                  38,            0.036218,            0.019818,           0.0030659,             0.86865,             0.79527,              0.8542,              0.4457,            0.033943,             0.01663,           0.0071794,            0.008779,            0.008779,            0.008779
                  39,            0.036069,             0.01984,           0.0032397,             0.87692,             0.79227,             0.85855,             0.45454,            0.033753,            0.016452,           0.0070242,            0.008746,            0.008746,            0.008746
                  40,            0.035996,            0.019879,           0.0030219,             0.86803,             0.80548,             0.85876,             0.45484,            0.033565,            0.016398,           0.0067964,            0.008713,            0.008713,            0.008713
                  41,            0.035926,            0.019752,           0.0029587,             0.87068,             0.80487,             0.86276,             0.45327,            0.033602,            0.016455,            0.007151,             0.00868,             0.00868,             0.00868
                  42,            0.036026,             0.01973,           0.0030042,               0.874,             0.80515,             0.85892,             0.46244,            0.032919,            0.016233,           0.0071776,            0.008647,            0.008647,            0.008647
                  43,            0.035683,            0.019602,           0.0029749,             0.87782,             0.80734,             0.86277,             0.46113,            0.033223,            0.016344,           0.0064849,            0.008614,            0.008614,            0.008614
                  44,            0.035618,            0.019626,           0.0029471,             0.87911,             0.80046,             0.86061,             0.46211,            0.033166,             0.01634,           0.0072837,            0.008581,            0.008581,            0.008581
                  45,            0.035534,            0.019608,           0.0029075,             0.86993,             0.80183,             0.85859,             0.45817,            0.033208,            0.016318,           0.0076303,            0.008548,            0.008548,            0.008548
                  46,            0.035332,            0.019584,           0.0028496,             0.87819,             0.80872,             0.86355,             0.46396,            0.033159,            0.016083,           0.0068191,            0.008515,            0.008515,            0.008515
                  47,            0.035312,            0.019505,           0.0028793,             0.87764,             0.81168,             0.86523,              0.4667,            0.033284,            0.016263,           0.0071326,            0.008482,            0.008482,            0.008482
                  48,            0.035227,            0.019495,           0.0028854,             0.87316,             0.81582,             0.86637,             0.46773,            0.033115,             0.01623,           0.0069118,            0.008449,            0.008449,            0.008449
                  49,            0.035411,            0.019515,            0.002972,             0.88533,               0.806,              0.8637,             0.46912,            0.032973,            0.016148,           0.0076786,            0.008416,            0.008416,            0.008416
                  50,            0.035323,            0.019549,           0.0028543,             0.87535,             0.81726,             0.86686,             0.46316,            0.033224,            0.016234,           0.0068893,            0.008383,            0.008383,            0.008383
                  51,            0.035019,            0.019394,           0.0027846,             0.86866,               0.823,             0.86907,              0.4732,            0.032961,            0.016073,            0.006838,             0.00835,             0.00835,             0.00835
                  52,            0.035166,            0.019471,            0.002867,             0.87239,             0.81473,             0.86674,             0.46963,            0.032949,            0.016056,           0.0066339,            0.008317,            0.008317,            0.008317
                  53,            0.034978,            0.019283,           0.0027916,             0.87675,              0.8123,              0.8682,             0.47231,            0.032635,            0.016033,           0.0071685,            0.008284,            0.008284,            0.008284
                  54,            0.034651,            0.019051,           0.0026682,             0.86962,             0.81964,              0.8671,             0.47256,            0.032843,            0.016026,           0.0074887,            0.008251,            0.008251,            0.008251
                  55,            0.035025,              0.0194,           0.0027577,             0.87061,             0.82054,              0.8719,             0.47291,            0.032935,            0.016016,           0.0071689,            0.008218,            0.008218,            0.008218
                  56,            0.034741,            0.019119,           0.0026317,             0.87907,             0.81164,             0.87485,               0.475,            0.032699,            0.016063,           0.0071166,            0.008185,            0.008185,            0.008185
                  57,             0.03497,            0.019416,           0.0028549,             0.87461,             0.81794,              0.8706,             0.47769,            0.032646,            0.015999,            0.007071,            0.008152,            0.008152,            0.008152
                  58,            0.034636,            0.019117,           0.0026672,             0.86418,             0.82738,              0.8719,             0.47499,              0.0327,            0.016029,           0.0068663,            0.008119,            0.008119,            0.008119
                  59,            0.034704,            0.019179,           0.0026788,              0.8574,             0.83449,             0.87432,             0.47819,            0.032694,            0.015926,           0.0069201,            0.008086,            0.008086,            0.008086
                  60,            0.034445,            0.019225,           0.0025858,             0.88645,             0.81673,             0.87543,              0.4801,             0.03269,            0.015889,           0.0065907,            0.008053,            0.008053,            0.008053
                  61,            0.034707,             0.01933,             0.00258,             0.88416,             0.81861,             0.87507,             0.48083,            0.032526,             0.01585,           0.0068728,             0.00802,             0.00802,             0.00802
                  62,            0.034578,            0.018942,           0.0026382,             0.88914,             0.81219,             0.87423,             0.48067,            0.032594,             0.01586,            0.007104,            0.007987,            0.007987,            0.007987
                  63,            0.034492,            0.019229,           0.0025617,             0.88983,             0.81227,             0.87644,             0.48075,            0.032564,            0.015904,           0.0070461,            0.007954,            0.007954,            0.007954
                  64,            0.034617,            0.019011,           0.0026022,             0.87822,             0.82429,              0.8756,             0.47914,            0.032607,            0.015875,           0.0068822,            0.007921,            0.007921,            0.007921
                  65,            0.034298,            0.019028,           0.0025354,              0.8808,             0.82253,             0.87369,             0.48166,            0.032498,            0.015808,           0.0069904,            0.007888,            0.007888,            0.007888
                  66,            0.034389,            0.019179,            0.002664,             0.87748,              0.8275,             0.87647,             0.48493,            0.032331,            0.015758,           0.0066626,            0.007855,            0.007855,            0.007855
                  67,            0.034417,            0.019108,           0.0025999,             0.87224,              0.8316,              0.8772,             0.48341,            0.032318,             0.01578,           0.0068032,            0.007822,            0.007822,            0.007822
                  68,            0.034105,            0.019001,           0.0024847,             0.88299,             0.82008,             0.87691,             0.48503,            0.032276,            0.015749,           0.0066597,            0.007789,            0.007789,            0.007789
                  69,             0.03428,            0.018931,           0.0025484,              0.8853,             0.81912,              0.8761,             0.48296,            0.032442,            0.015781,           0.0069477,            0.007756,            0.007756,            0.007756
