               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03779,            0.021134,           0.0038463,             0.87514,             0.78617,             0.84579,             0.43325,            0.033928,            0.017342,           0.0069257,            0.008845,            0.008845,            0.008845
                  37,            0.037485,            0.020773,           0.0038537,             0.86503,             0.78988,             0.84585,             0.43187,            0.033942,            0.017356,           0.0069762,            0.008812,            0.008812,            0.008812
                  38,            0.037607,            0.020763,             0.00384,             0.86968,             0.78947,             0.84532,             0.43364,            0.033986,            0.017369,           0.0070319,            0.008779,            0.008779,            0.008779
                  39,            0.037296,            0.020483,           0.0036826,              0.8634,              0.7905,             0.84795,             0.43505,            0.033973,            0.017331,            0.007058,            0.008746,            0.008746,            0.008746
                  40,            0.037387,            0.020711,           0.0036922,             0.86919,             0.79126,             0.85026,             0.43713,            0.033846,            0.017288,            0.006765,            0.008713,            0.008713,            0.008713
                  41,            0.037526,            0.020737,           0.0036152,             0.86127,             0.79635,             0.85076,             0.43892,             0.03371,            0.017268,           0.0066593,             0.00868,             0.00868,             0.00868
                  42,            0.037373,            0.020617,           0.0036284,             0.88164,             0.78576,             0.85263,             0.44083,            0.033734,            0.017235,           0.0066238,            0.008647,            0.008647,            0.008647
                  43,            0.037079,            0.020319,           0.0035869,             0.87684,             0.79126,             0.85494,              0.4429,            0.033646,            0.017217,           0.0065835,            0.008614,            0.008614,            0.008614
                  44,            0.036848,            0.020345,            0.003555,              0.8735,              0.7957,             0.85494,             0.44206,            0.033604,             0.01723,           0.0066241,            0.008581,            0.008581,            0.008581
                  45,            0.036905,            0.020375,           0.0034626,             0.87447,             0.79554,             0.85435,             0.44219,            0.033645,            0.017236,           0.0066416,            0.008548,            0.008548,            0.008548
                  46,            0.036836,            0.020413,           0.0035096,             0.86765,             0.79721,             0.85575,               0.442,            0.033715,            0.017234,           0.0065391,            0.008515,            0.008515,            0.008515
                  47,            0.036696,            0.020219,           0.0034874,             0.87394,             0.79575,             0.85668,             0.44315,            0.033702,            0.017224,           0.0065797,            0.008482,            0.008482,            0.008482
                  48,             0.03678,            0.020244,           0.0035155,             0.87054,             0.79944,             0.85652,             0.44245,            0.033666,            0.017203,           0.0065917,            0.008449,            0.008449,            0.008449
                  49,             0.03664,            0.020378,           0.0035112,             0.87311,             0.79751,             0.85624,             0.44304,            0.033642,            0.017195,           0.0066179,            0.008416,            0.008416,            0.008416
                  50,            0.036656,            0.020367,           0.0034555,             0.87795,             0.79574,              0.8567,             0.44436,            0.033602,            0.017178,           0.0065824,            0.008383,            0.008383,            0.008383
                  51,            0.036677,             0.02024,           0.0034538,             0.87157,             0.79817,             0.85579,             0.44421,            0.033577,            0.017161,            0.006629,             0.00835,             0.00835,             0.00835
                  52,            0.036336,            0.020056,           0.0033441,             0.86984,             0.80114,             0.85701,             0.44465,            0.033559,            0.017143,           0.0066604,            0.008317,            0.008317,            0.008317
                  53,            0.036468,            0.020132,           0.0034341,             0.86781,             0.80465,             0.85762,             0.44508,            0.033527,            0.017126,           0.0066647,            0.008284,            0.008284,            0.008284
                  54,             0.03631,            0.020035,           0.0033715,             0.86693,             0.80582,             0.85933,             0.44565,            0.033505,            0.017107,           0.0066618,            0.008251,            0.008251,            0.008251
                  55,            0.036438,            0.020049,           0.0033535,             0.86753,             0.80572,             0.85922,             0.44616,              0.0335,            0.017092,           0.0066917,            0.008218,            0.008218,            0.008218
                  56,            0.036246,            0.020089,            0.003343,             0.87272,             0.80391,             0.85983,             0.44677,            0.033463,            0.017082,           0.0066799,            0.008185,            0.008185,            0.008185
                  57,            0.036494,            0.020167,           0.0033528,             0.87549,             0.80314,             0.86057,             0.44703,            0.033445,            0.017072,           0.0066599,            0.008152,            0.008152,            0.008152
                  58,            0.036265,            0.019869,           0.0034502,             0.87493,              0.8034,             0.86086,              0.4477,            0.033404,            0.017063,           0.0066416,            0.008119,            0.008119,            0.008119
                  59,            0.036012,            0.020049,             0.00341,             0.87511,             0.80358,             0.86041,             0.44818,            0.033398,            0.017059,           0.0066413,            0.008086,            0.008086,            0.008086
                  60,            0.036125,            0.019962,           0.0032969,             0.87311,             0.80532,             0.86121,             0.44863,            0.033394,             0.01705,           0.0066127,            0.008053,            0.008053,            0.008053
                  61,            0.036198,            0.020104,           0.0033152,             0.87819,              0.8001,             0.86142,             0.44979,            0.033374,            0.017046,           0.0066102,             0.00802,             0.00802,             0.00802
                  62,            0.036096,            0.019876,           0.0032989,             0.87936,             0.79855,             0.86178,             0.44959,            0.033366,             0.01704,           0.0066013,            0.007987,            0.007987,            0.007987
